"Arquivo","Critico","CaminhoCompleto","TamanhoKB","UltimaModificacao"
"supabase.ts","SIM","C:\Projetos\portal-cidadania-os\src\lib\supabase.ts","0,52","24/07/2026 17:25:18"
"001_schema_inicial.sql","SIM","C:\Projetos\portal-cidadania-os\supabase\migrations\001_schema_inicial.sql","1,1","23/07/2026 23:30:44"
"schema_completo.sql","SIM","C:\Projetos\portal-cidadania-os\supabase\schema_completo.sql","30,92","18/07/2026 12:10:12"
"nucleos.ts","","C:\Projetos\portal-cidadania-os\src\lib\nucleos.ts","4,88","23/07/2026 23:30:44"
"middleware.ts","","C:\Projetos\portal-cidadania-os\src\middleware.ts","3,58","24/07/2026 17:25:18"
"Header.tsx","","C:\Projetos\portal-cidadania-os\src\components\Header.tsx","13,8","24/07/2026 17:25:18"
"Footer.tsx","","C:\Projetos\portal-cidadania-os\src\components\Footer.tsx","13,82","23/07/2026 23:30:44"
"NucleoCard.tsx","","C:\Projetos\portal-cidadania-os\src\components\NucleoCard.tsx","1,49","17/07/2026 13:15:43"
"BannerCarousel.tsx","","C:\Projetos\portal-cidadania-os\src\components\BannerCarousel.tsx","9,37","23/07/2026 23:30:44"
"BgSlideshow.tsx","","C:\Projetos\portal-cidadania-os\src\components\BgSlideshow.tsx","2,02","23/07/2026 23:30:44"
"ChatbotFAQ.tsx","","C:\Projetos\portal-cidadania-os\src\components\ChatbotFAQ.tsx","11,5","24/07/2026 23:48:52"
"CardCurso.tsx","","C:\Projetos\portal-cidadania-os\src\components\cursos\CardCurso.tsx","1,44","21/06/2026 18:02:48"
"ListaCursos.tsx","","C:\Projetos\portal-cidadania-os\src\components\cursos\ListaCursos.tsx","1,71","21/06/2026 18:02:29"
"DetalhesCurso.tsx","","C:\Projetos\portal-cidadania-os\src\components\cursos\DetalhesCurso.tsx","3,55","21/06/2026 18:02:37"
"BotaoInscricao.tsx","","C:\Projetos\portal-cidadania-os\src\components\cursos\BotaoInscricao.tsx","5,25","21/06/2026 18:02:21"
"AdminPageHeader.tsx","","C:\Projetos\portal-cidadania-os\src\components\admin\AdminPageHeader.tsx","1,22","24/07/2026 17:25:18"
"next.config.js","","C:\Projetos\portal-cidadania-os\next.config.js","0,16","28/05/2026 23:25:33"
"tailwind.config.js","","C:\Projetos\portal-cidadania-os\tailwind.config.js","0,56","28/05/2026 23:53:47"
"tailwind.config.js","","C:\Projetos\portal-cidadania-os\node_modules\tailwindcss\stubs\tailwind.config.js","0,07","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\package.json","0,73","23/07/2026 12:35:03"
"package.json","","C:\Projetos\portal-cidadania-os\.next\package.json","0,02","24/07/2026 23:49:09"
"package.json","","C:\Projetos\portal-cidadania-os\.next\types\package.json","0,02","24/07/2026 23:49:39"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@alloc\quick-lru\package.json","0,73","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@esbuild\win32-x64\package.json","0,37","23/07/2026 10:56:41"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@jridgewell\gen-mapping\package.json","2,15","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@jridgewell\resolve-uri\package.json","2,01","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@jridgewell\sourcemap-codec\package.json","2,1","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@jridgewell\trace-mapping\package.json","2,2","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@next\env\package.json","0,96","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@next\swc-win32-x64-msvc\package.json","0,42","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@nodelib\fs.scandir\package.json","1,14","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@nodelib\fs.stat\package.json","0,96","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@nodelib\fs.walk\package.json","1,11","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@supabase\auth-js\package.json","1,51","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@supabase\functions-js\package.json","1,54","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@supabase\phoenix\package.json","1,63","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@supabase\postgrest-js\package.json","2,09","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@supabase\realtime-js\package.json","1,69","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@supabase\ssr\package.json","1,17","21/06/2026 21:13:26"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@supabase\storage-js\package.json","1,78","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@supabase\supabase-js\package.json","5,22","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\counter\package.json","0,61","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\package.json","17,02","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\index\package.json","0,07","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_apply_decorated_descriptor\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_apply_decs_2203_r\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_array_like_to_array\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_array_without_holes\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_array_with_holes\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_assert_this_initialized\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_async_generator\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_async_generator_delegate\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_async_iterator\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_async_to_generator\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_await_async_generator\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_await_value\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_check_private_redeclaration\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_apply_descriptor_destructure\package.json","0,13","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_apply_descriptor_get\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_apply_descriptor_set\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_apply_descriptor_update\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_call_check\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_check_private_static_access\package.json","0,13","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_check_private_static_field_descriptor\package.json","0,15","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_extract_field_descriptor\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_name_tdz_error\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_field_destructure\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_field_get\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_field_init\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_field_loose_base\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_field_loose_key\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_field_set\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_field_update\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_method_get\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_method_init\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_private_method_set\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_static_private_field_destructure\package.json","0,14","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_static_private_field_spec_get\package.json","0,13","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_static_private_field_spec_set\package.json","0,13","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_static_private_field_update\package.json","0,13","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_class_static_private_method_get\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_construct\package.json","0,08","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_create_class\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_create_for_of_iterator_helper_loose\package.json","0,13","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_create_super\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_decorate\package.json","0,08","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_defaults\package.json","0,08","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_define_enumerable_properties\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_define_property\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_dispose\package.json","0,08","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_export_star\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_extends\package.json","0,08","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_get\package.json","0,07","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_get_prototype_of\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_inherits\package.json","0,08","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_inherits_loose\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_initializer_define_property\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_initializer_warning_helper\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_instanceof\package.json","0,08","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_interop_require_default\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_interop_require_wildcard\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_is_native_function\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_is_native_reflect_construct\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_iterable_to_array\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_iterable_to_array_limit\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_iterable_to_array_limit_loose\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_jsx\package.json","0,07","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_new_arrow_check\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_non_iterable_rest\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_non_iterable_spread\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_object_destructuring_empty\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_object_spread\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_object_spread_props\package.json","0,1","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_object_without_properties\package.json","0,11","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_object_without_properties_loose\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_possible_constructor_return\package.json","0,12","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_read_only_error\package.json","0,09","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_set\package.json","0,07","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\@swc\helpers\_\_set_prototype_of\package.json","0,1","28/05/2026 23:25:47"
